cepage-link,appellation-nom,appellation-type,appellation-couleur,appellation-vignoble
Gamay noir,Beaujolais rouge,AOC/AOP,Rouge,Beaujolais
Chardonnay blanc,Puligny-Montrachet premier cru Les Referts blanc,AOC/AOP,Blanc,Bourgogne
Pinot noir,Chapelle-Chambertin,AOC/AOP,Rouge,Bourgogne
Grenache noir,Languedoc Saint-Drézéry rouge,AOC/AOP,Rouge,Languedoc-roussillon
Chardonnay blanc,Coteaux de Peyriac blanc,IGP,Blanc,Languedoc-roussillon
Muscat à petits grains blanc,Alsace grand cru spiegel grains nobles muscat,AOC/AOP,Blanc,Alsace
Pinot gris,Alsace grand cru ollwiller vendanges tardives pinot gris,AOC/AOP,Blanc,Alsace
Téoulier noir,Périgord Vin de Domme rosé,IGP,Rouge,Bordeaux
Pinot noir,Chassagne-Montrachet premier cru Les Chaumes rouge,AOC/AOP,Rouge,Bourgogne
Chardonnay blanc,Aloxe-Corton premier cru Les Maréchaudes blanc,AOC/AOP,Blanc,Bourgogne
Grenache noir,Côtes du Rhône Villages Saint-Gervais rosé,AOC/AOP,Rosé,Rhône
Muscat à petits grains blanc,Alsace grand cru gloeckelberg grains nobles muscat,AOC/AOP,Blanc,Alsace
Grenache noir,Côtes du Vivarais rosé,AOC/AOP,Rosé,Rhône
Meunier noir,Champagne grand cru,AOC/AOP,Blanc,Champagne
Muscat à petits grains rosé,Alsace grand cru ollwiller grains nobles muscat,AOC/AOP,Blanc,Alsace
Cabernet-Franc noir,Pauillac,AOC/AOP,Rouge,Bordeaux
Vermentino blanc,Luberon blanc,AOC/AOP,Blanc,Rhône
Rubilande rosé,Pays d'Hérault rosé,IGP,Rosé,Languedoc-roussillon
Villard noir,Drôme blanc,IGP,Blanc,Rhône
Chenin blanc,Touraine mousseux blanc,AOC/AOP,Blanc,Loire
Cabernet-Franc noir,Orléans-Cléry,AOC/AOP,Rouge,Loire
Chardonnay blanc,Saint-Véran prissé,AOC/AOP,Blanc,Bourgogne
Clairette rosé,Pays d'Oc rosé,IGP,Rosé,Languedoc-roussillon
Pinot noir,Ladoix rouge,AOC/AOP,Rouge,Bourgogne
Cabernet-Franc noir,Sable de Camargue gris,IGP,Gris,Languedoc-roussillon
Pinot blanc,Beaune premier cru Les Vignes Franches blanc,AOC/AOP,Blanc,Bourgogne
Cabernet-Franc noir,Haute-Vienne rouge,IGP,Rouge,Loire
Pinot gris,Champagne grand cru,AOC/AOP,Blanc,Champagne
Etraire de la Dui noir,Atlantique rouge,IGP,Rouge,Bordeaux
Gamay noir,Périgord rosé,IGP,Rosé,Bordeaux
Gamay noir,Beaujolais La Chapelle-de-Guinchay rouge,AOC/AOP,Rouge,Beaujolais
Carmenère noir,Pays d'Oc rosé de raisins surmûris,IGP,Rosé,Languedoc-roussillon
Pinot blanc,Beaune premier cru Belissand blanc,AOC/AOP,Blanc,Bourgogne
Grenache noir,Grignan-les-Adhémar nouveau rouge,AOC,Rouge,Rhône
Marselan noir,Périgord Vin de Domme rosé,IGP,Rouge,Bordeaux
Genovèse blanc,Atlantique blanc,IGP,Blanc,Bordeaux
Négrette noir,Pays d'Oc gris de gris,IGP,Gris,Languedoc-roussillon
Aligoté blanc,Puy-de-Dôme blanc,IGP,Blanc,Loire
Pinot gris,Alsace vendanges tardives Pinot gris,AOC/AOP,Blanc,Alsace
Viognier blanc,Côtes du Rhône Villages Saint-Pantaléon-les-Vignes blanc,AOC/AOP,Blanc,Rhône
Piquepoul noir,Atlantique rosé,IGP,Rosé,Bordeaux
Grenache noir,Pays d'Oc gris de gris,IGP,Gris,Languedoc-roussillon
Cabernet-Franc noir,Côtes du Tarn rouge,IGP,Rouge,Sud-ouest
Grenache blanc,Grignan-les-Adhémar nouveau blanc,AOC,Blanc,Rhône
